,location,lat,lon
116,"Banashankari, Bangalore",12.9152186,77.5736205
117,"Banashankari, Bangalore",12.9152186,77.5736205
118,"Banashankari, Bangalore",12.9152186,77.5736205
119,"Banashankari, Bangalore",12.9152186,77.5736205
120,"Banashankari, Bangalore",12.9152186,77.5736205
121,"Banashankari, Bangalore",12.9152186,77.5736205
122,"Banashankari, Bangalore",12.9152186,77.5736205
123,"Banashankari, Bangalore",12.9152186,77.5736205
124,"Banashankari, Bangalore",12.9152186,77.5736205
125,"Banashankari, Bangalore",12.9152186,77.5736205
126,"Banashankari, Bangalore",12.9152186,77.5736205
127,"Banashankari, Bangalore",12.9152186,77.5736205
128,"Banashankari, Bangalore",12.9152186,77.5736205
129,"Banashankari, Bangalore",12.9152186,77.5736205
130,"Banashankari, Bangalore",12.9152186,77.5736205
131,"Banashankari, Bangalore",12.9152186,77.5736205
132,"Banashankari, Bangalore",12.9152186,77.5736205
133,"Banashankari, Bangalore",12.9152186,77.5736205
134,"Banashankari, Bangalore",12.9152186,77.5736205
135,"Banashankari, Bangalore",12.9152186,77.5736205
136,"Banashankari, Bangalore",12.9152186,77.5736205
137,"Banashankari, Bangalore",12.9152186,77.5736205
138,"Banashankari, Bangalore",12.9152186,77.5736205
139,"Banashankari, Bangalore",12.9152186,77.5736205
140,"Banashankari, Bangalore",12.9152186,77.5736205
141,"Banashankari, Bangalore",12.9152186,77.5736205
142,"Banashankari, Bangalore",12.9152186,77.5736205
143,"Basavanagudi, Bangalore",12.9417261,77.5755021
144,"Jayanagar, Bangalore",12.9292731,77.5824229
145,"Banashankari, Bangalore",12.9152186,77.5736205
146,"Basavanagudi, Bangalore",12.9417261,77.5755021
147,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
148,"Banashankari, Bangalore",12.9152186,77.5736205
149,"Banashankari, Bangalore",12.9152186,77.5736205
150,"Banashankari, Bangalore",12.9152186,77.5736205
151,"Jayanagar, Bangalore",12.9292731,77.5824229
152,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
153,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
154,"Jayanagar, Bangalore",12.9292731,77.5824229
155,"Basavanagudi, Bangalore",12.9417261,77.5755021
156,"Banashankari, Bangalore",12.9152186,77.5736205
157,"Jayanagar, Bangalore",12.9292731,77.5824229
158,"Basavanagudi, Bangalore",12.9417261,77.5755021
159,"Jayanagar, Bangalore",12.9292731,77.5824229
160,"Basavanagudi, Bangalore",12.9417261,77.5755021
161,"Jayanagar, Bangalore",12.9292731,77.5824229
162,"Basavanagudi, Bangalore",12.9417261,77.5755021
163,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
164,"Banashankari, Bangalore",12.9152186,77.5736205
165,"Banashankari, Bangalore",12.9152186,77.5736205
166,"Banashankari, Bangalore",12.9152186,77.5736205
167,"Banashankari, Bangalore",12.9152186,77.5736205
168,"Basavanagudi, Bangalore",12.9417261,77.5755021
169,"Basavanagudi, Bangalore",12.9417261,77.5755021
170,"Banashankari, Bangalore",12.9152186,77.5736205
171,"Banashankari, Bangalore",12.9152186,77.5736205
172,"Basavanagudi, Bangalore",12.9417261,77.5755021
173,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
174,"Banashankari, Bangalore",12.9152186,77.5736205
175,"Jayanagar, Bangalore",12.9292731,77.5824229
176,"Jayanagar, Bangalore",12.9292731,77.5824229
177,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
178,"Banashankari, Bangalore",12.9152186,77.5736205
179,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
180,"Banashankari, Bangalore",12.9152186,77.5736205
181,"Banashankari, Bangalore",12.9152186,77.5736205
182,"Basavanagudi, Bangalore",12.9417261,77.5755021
183,"Jayanagar, Bangalore",12.9292731,77.5824229
184,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
185,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
186,"Banashankari, Bangalore",12.9152186,77.5736205
187,"Basavanagudi, Bangalore",12.9417261,77.5755021
188,"Banashankari, Bangalore",12.9152186,77.5736205
189,"Basavanagudi, Bangalore",12.9417261,77.5755021
190,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
191,"Banashankari, Bangalore",12.9152186,77.5736205
192,"Banashankari, Bangalore",12.9152186,77.5736205
193,"Banashankari, Bangalore",12.9152186,77.5736205
194,"Banashankari, Bangalore",12.9152186,77.5736205
195,"Banashankari, Bangalore",12.9152186,77.5736205
196,"Jayanagar, Bangalore",12.9292731,77.5824229
