name,rate,location,cuisines,cost_for_two,type
Parimala Sweets,3.5,Banashankari,"Mithai, Street Food",200,Delivery
Vaishali Deluxe,3.8,Banashankari,"North Indian, Chinese",700,Delivery
Chill Out,3.7,Banashankari,"South Indian, Chinese",100,Delivery
The Big O Bakes,4,Banashankari,"Bakery, Desserts",300,Delivery
Meghana Foods,4.4,Jayanagar,"Biryani, North Indian, Chinese",600,Delivery
Krishna Sagar,3.5,Banashankari,North Indian,200,Delivery
Dessert Rose,3.5,Banashankari,Desserts,500,Delivery
Chickpet Donne Biryani House,3.7,Banashankari,Biryani,250,Delivery
Me And My Cake,3.7,Banashankari,"Bakery, Desserts",500,Delivery
Sunsadm,3.7,Banashankari,South Indian,400,Delivery
Annapooraneshwari Mess,3.7,Banashankari,South Indian,200,Delivery
Thanco's Natural Ice Creams,3.2,Banashankari,Ice Cream,300,Delivery
Nandhini Deluxe,2.6,Banashankari,North Indian,600,Delivery
Vi Ra's Bar and Restaurant,3.3,Banashankari,"South Indian, North Indian, Chinese",800,Delivery
Kaggis,3.8,Banashankari,"Fast Food, Bakery",250,Delivery
Ayda Persian Kitchen,3.7,Banashankari,"North Indian, Iranian",950,Delivery
Chatar Patar,3.7,Banashankari,"Fast Food, Street Food",300,Delivery
Polar Bear,3.8,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
Kidambi's Kitchen,3.5,Banashankari,South Indian,300,Delivery
Mane Thindi,3.7,Banashankari,South Indian,200,Delivery
Kotian Karavali Restaurant,3.5,Banashankari,"South Indian, Biryani",300,Delivery
Floured-Baked With Love,3.8,Banashankari,Bakery,400,Delivery
CAFE NOVA,3.2,Banashankari,"Cafe, Bakery",600,Delivery
Cakes & Slices,3.5,Banashankari,"Bakery, Desserts",300,Delivery
Spice 9,3.4,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
Coffee Shopee,3.7,Banashankari,Beverages,250,Delivery
Naveen Kabab & Biriyani Mane,3.2,Banashankari,Biryani,300,Delivery
Katriguppe Donne Biryani,3.2,Banashankari,North Indian,300,Delivery
Hari Super Sandwich,3.7,Banashankari,"Sandwich, Pizza, Beverages",200,Delivery
Atithi Point Ande Ka Funda,3.1,Banashankari,North Indian,150,Delivery
Just Bake,3.4,Banashankari,"Bakery, Desserts",400,Delivery
Dharwad Line Bazaar Mishra Pedha,3.7,Banashankari,Mithai,150,Delivery
Cake Bite,3.7,Banashankari,Bakery,300,Delivery
Aarush's Food Plaza,3.7,Banashankari,"North Indian, Street Food",200,Delivery
Wood Stove,3.7,Banashankari,South Indian,150,Delivery
Kulfi & More,3.7,Banashankari,"Ice Cream, Desserts, Juices",150,Delivery
Kannadigas Karavali,3.7,Banashankari,"Mangalorean, South Indian, North Indian",250,Delivery
K27 - The Pub,3.1,Banashankari,"Chinese, North Indian",1000,Delivery
Bengaluru Coffee House,4.1,Banashankari,"South Indian, North Indian, Chinese, Street Food",300,Delivery
New Mangalore Lunch Home,3.3,Banashankari,"Mangalorean, South Indian, North Indian",200,Delivery
Coffee Bytes,3.1,Banashankari,"Fast Food, South Indian",100,Delivery
Parjanya Chat Zone,3.3,Banashankari,"Street Food, Fast Food",200,Delivery
