name,rate,location,cuisines,cost_for_two
"Thai Chy,Indiranagar",4.3,Indiranagar,"Thai, Asian, Indonesian, Delivery, Dine-out",1200
"Donne Biryani Hatti,Vasanth Nagar",3.6,Vasanth Nagar,"Biryani, Delivery, Dine-out",300
"Kabab Magic,Richmond Road",3.9,Richmond Road,"North Indian, Kebab, Fast Food, Delivery, Dine-out, Delivery, Delivery, Dine-out",500
"The Good Bowl,Vasanth Nagar",3.6,Vasanth Nagar,"Italian, North Indian, Biryani, Delivery",500
"Ishta Upahar,Ulsoor",3.4,Ulsoor,"South Indian, Delivery, Delivery, Delivery",100
"Krispy Kreme,Richmond Road",4.0,Richmond Road,"Desserts, Beverages, Delivery, Desserts",300
"Healthie,Indiranagar",3.9,Indiranagar,"Healthy Food, Beverages, Delivery",600
"XO Belgian Waffle,Brigade Road",4.4,Brigade Road,"Desserts, Beverages, Delivery, Desserts, Delivery, Desserts",450
"Mani's Dum Biryani,Ulsoor",4.0,Ulsoor,"Biryani, Kebab, Delivery, Dine-out, Delivery, Dine-out",750
"Biryani Trip,Indiranagar",3.7,Indiranagar,"Biryani, Delivery, Delivery",400
"Subway,Lavelle Road",3.9,Lavelle Road,"Salad, Fast Food, Delivery, Dine-out, Delivery, Dine-out",600
"Kaati Zone,Church Street",3.1,Church Street,"Fast Food, Biryani, Rolls, Delivery, Dine-out, Delivery, Dine-out",350
"Suryawanshi,Indiranagar",4.2,Indiranagar,"Seafood, Maharashtrian, Delivery, Dine-out, Delivery",700
"Portland Steakhouse & Cafe,MG Road",4.3,MG Road,"Steak, Italian, Continental, American, Burger, BBQ, Salad, Delivery, Dine-out",1500
"WOW! Momo,Brigade Road",3.7,Brigade Road,"Chinese, Momos, Delivery, Dine-out, Delivery, Delivery, Dine-out",400
"Thalis Of India,Indiranagar",3.4,Indiranagar,"South Indian, North Indian, Beverages, Delivery",500
"Keventers,Indiranagar",4.0,Indiranagar,"Desserts, Beverages, Ice Cream, Delivery, Desserts, Delivery, Desserts",400
"The London Shakes,Church Street",3.7,Church Street,"Pizza, Burger, Coffee, Beverages, Delivery, Dine-out, Delivery, Dine-out, Delivery, Dine-out",500
"Shawarma Inc,Brigade Road",3.1,Brigade Road,"Rolls, Lebanese, Delivery, Dine-out, Delivery",250
"Hotel Fanoos,Richmond Road",4.0,Richmond Road,"Arabian, Biryani, Rolls, Kebab, Delivery, Dine-out",400
"Laughing Llama Gastropub,Brigade Road",4.3,Brigade Road,"Finger Food, Continental, Pizza, Delivery, Dine-out, Drinks & nightlife, Pubs and bars, Delivery, Dine-out, Drinks & nightlife, Pubs and bars",1600
"Imperial Restaurant,Indiranagar",3.9,Indiranagar,"North Indian, Chinese, Biryani, Kebab, Juices, Delivery, Dine-out, Delivery",800
"Oregano Pizzeria,Frazer Town",3.5,Frazer Town,"Italian, Pizza, Delivery, Dine-out, Delivery",300
"The Good Grain,Residency Road",4.1,Residency Road,"Healthy Food, North Indian, South Indian, Delivery, Dine-out, Delivery, Dine-out",400
"Pasta Street,Cunningham Road",4.5,Cunningham Road,"Italian, Pizza, Salad, Delivery, Dine-out",1300
"Chetty's Coffee,MG Road",3.7,MG Road,"South Indian, Delivery, Dine-out, Delivery, Dine-out, Delivery, Dine-out",200
"Cita Pani,Indiranagar",3.9,Indiranagar,"Biryani, North Indian, Arabian, Delivery, Dine-out, Delivery",350
"Crazy Pizza,Brigade Road",3.7,Brigade Road,"Pizza, Beverages, Delivery, Dine-out, Delivery, Dine-out",400
"Delicacy,Frazer Town",3.9,Frazer Town,"Chinese, Thai, Momos, Delivery, Dine-out",500
"Kareem's,Frazer Town",3.6,Frazer Town,"North Indian, Mughlai, Delivery, Dine-out",700
"Mamagoto,Indiranagar",4.4,Indiranagar,"Asian, Thai, Chinese, BBQ, Momos, Delivery, Dine-out",1600
"Tayabbs,Frazer Town",3.0,Frazer Town,"Rolls, North Indian, Fast Food, Delivery, Dine-out",500
"Atty's Bakery,Frazer Town",4.0,Frazer Town,"Bakery, Delivery, Desserts",250
"Vijayalakshmi Veg,Frazer Town",3.9,Frazer Town,"South Indian, Delivery, Dine-out",200
"The Cake House,Ulsoor",3.7,Ulsoor,"Bakery, Desserts, Delivery, Desserts, Delivery, Desserts",300
"Eden Park,Cunningham Road",4.1,Cunningham Road,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian, Delivery, Dine-out",1100
"YumYumDilli,Indiranagar",3.6,Indiranagar,"North Indian, Delivery",500
"Kanti Sweets,Brigade Road",3.9,Brigade Road,"Mithai, Street Food, Delivery, Desserts",400
"Rahhams,Frazer Town",3.9,Frazer Town,"Mughlai, North Indian, Chinese, Delivery, Dine-out",700
"Popat Juice Junction,Ulsoor",3.7,Ulsoor,"Beverages, Juices, Delivery",200
"Marzipan Cafe & Bakery,Ulsoor",4.2,Ulsoor,"Cafe, Mediterranean, Bakery, Greek, Beverages, Delivery, Desserts, Cafes, Dine-out, Cafes, Delivery, Desserts, Dine-out",700
"Bozo's Yum Yums,Frazer Town",4.0,Frazer Town,"Fast Food, Burger, American, Delivery",650
"Pind Balluchi,Brigade Road",4.0,Brigade Road,"North Indian, Mughlai, Delivery, Dine-out, Dine-out, Delivery",700
"Cream Chemistry,Frazer Town",3.9,Frazer Town,"Ice Cream, Desserts, Delivery, Desserts",500
"The Brekkie Shop,MG Road",3.5,MG Road,"Healthy Food, Sandwich, Delivery, Delivery",300
"Maravanthe,Brigade Road",3.5,Brigade Road,"Mangalorean, Seafood, Delivery, Dine-out",650
"House Of Candy,Malleshwaram",3.7,Malleshwaram,"Desserts, Delivery",200
"Haldiram's Express,Brigade Road",3.6,Brigade Road,"North Indian, Delivery, Dine-out",300
"Hotel Ramprasad,Brigade Road",4.2,Brigade Road,"South Indian, Chinese, Delivery, Dine-out",300
"The Chef's Cake & Bakes,Richmond Road",3.7,Richmond Road,"Desserts, Delivery, Desserts",800
"Indian Spice Food,Ulsoor",3.6,Ulsoor,"North Indian, Chinese, Delivery, Dine-out, Delivery, Dine-out",300
"Lassi Shop,Indiranagar",3.8,Indiranagar,"Beverages, Juices, Ice Cream, Delivery",100
"Kitchen of Joy,Indiranagar",4.1,Indiranagar,"Fast Food, Bengali, Rolls, Delivery, Dine-out, Delivery, Dine-out",400
"Domino's Pizza,MG Road",3.9,MG Road,"Pizza, Fast Food, Delivery, Dine-out, Dine-out, Delivery, Dine-out, Delivery",800
"Mama Mia!,Indiranagar",4.3,Indiranagar,"Desserts, Cafe, Delivery, Cafes, Desserts",400
"Shiro,Lavelle Road",4.4,Lavelle Road,"Japanese, Asian, Delivery, Dine-out, Drinks & nightlife",3000
"Thai House,Brigade Road",4.2,Brigade Road,"Thai, Delivery, Dine-out, Delivery, Dine-out",700
"InnerChef,Indiranagar",3.7,Indiranagar,"North Indian, Continental, Delivery",500
"Roll Er Dokaan,Brigade Road",3.3,Brigade Road,"Street Food, Rolls, Delivery, Dine-out, Delivery, Dine-out",300
"NH7 Refuel,Ulsoor",3.5,Ulsoor,"North Indian, Chinese, Biryani, Delivery, Delivery",400
"Royanna Military Canteen,Brigade Road",3.7,Brigade Road,"South Indian, Biryani, Delivery, Delivery",200
"Church Street Social,Church Street",4.3,Church Street,"American, North Indian, Chinese, Finger Food, Momos, Delivery, Dine-out",1500
"Mad Over Donuts,Brigade Road",3.9,Brigade Road,"Bakery, Desserts, Beverages, Delivery, Desserts",450
"Sheesh Kebab,Frazer Town",4.1,Frazer Town,"North Indian, Delivery, Dine-out, Delivery",700
"Just Shawarma,Ulsoor",3.8,Ulsoor,"Arabian, Delivery",300
"Bangaliana,Indiranagar",3.7,Indiranagar,"Bengali, Delivery",500
"The Belgian Waffle Co.,Indiranagar",4.0,Indiranagar,"Desserts, Delivery, Desserts, Delivery, Desserts",400
"Slurpy Shakes,Domlur",3.7,Domlur,"Beverages, Delivery",300
"Taco Bell,Brigade Road",3.8,Brigade Road,"Mexican, American, Fast Food, Delivery, Dine-out, Delivery, Dine-out",600
"Bangalore Masala House,Vasanth Nagar",4.2,Vasanth Nagar,"Cafe, Continental, Fast Food, Delivery, Cafes, Desserts, Dine-out, Cafes, Delivery, Desserts, Dine-out",500
"Classic Lassi Shop,Ulsoor",3.5,Ulsoor,"Beverages, Ice Cream, Delivery, Delivery",150
"Fruit Face,Indiranagar",3.6,Indiranagar,"Fast Food, Street Food, Beverages, Delivery, Delivery",300
"Srinidhi Sagar Food Line,Indiranagar",3.7,Indiranagar,"South Indian, North Indian, Chinese, Delivery, Dine-out, Delivery, Dine-out",40
"Jars,Vasanth Nagar",3.8,Vasanth Nagar,"Healthy Food, Beverages, Delivery",650
"Pabrai's Fresh & Naturelle Icecreams,Brigade Road",4.2,Brigade Road,"Ice Cream, Desserts, Delivery, Desserts, Delivery, Desserts",180
"Ibaco,Indiranagar",4.0,Indiranagar,"Desserts, Delivery, Desserts",300
"Firewood Biryani,Residency Road",3.9,Residency Road,"Biryani, Kebab, Rolls, Delivery, Dine-out",400
"Sweet Chariot,Cunningham Road",3.8,Cunningham Road,"Bakery, Fast Food, Delivery",500
"Venus Biryani,Domlur",3.0,Domlur,"Biryani, Chinese, Delivery, Dine-out, Delivery, Dine-out",200
"Sangam Sweets,Seshadripuram",3.1,Seshadripuram,"Mithai, Street Food, Delivery, Desserts",200
"Container Coffee,Ulsoor",3.7,Ulsoor,"South Indian, Delivery, Dine-out, Delivery, Dine-out, Delivery, Dine-out",200
"Kartik's Mithai Shoppe,Indiranagar",4.1,Indiranagar,"Mithai, Street Food, Delivery, Desserts",150
"Desi Deck,Brigade Road",3.9,Brigade Road,"Mughlai, North Indian, Desserts, Delivery, Dine-out, Pubs and bars, Drinks & nightlife",1300
"UBCR,Indiranagar",3.3,Indiranagar,"Italian, American, Chinese, Arabian, North Indian, Cafe, Delivery, Cafes, Dine-out, Delivery, Cafes, Dine-out",350
"Hoppipola,Church Street",4.3,Church Street,"Continental, Mediterranean, European, Delivery, Dine-out, Drinks & nightlife",1300
"Hatti Kaapi,Ulsoor",3.8,Ulsoor,"South Indian, Beverages, Delivery, Dine-out, Delivery, Dine-out",200
"Mount View Fast Food,Vasanth Nagar",3.3,Vasanth Nagar,"Fast Food, Street Food, Delivery",100
"Chichaba's Taj,Frazer Town",3.9,Frazer Town,"Biryani, North Indian, Mughlai, Delivery, Dine-out",600
"99 Pancakes,Church Street",4.1,Church Street,"Desserts, Ice Cream, Delivery, Desserts, Dine-out, Delivery, Desserts, Dine-out",150
"Beijing Bites,Richmond Road",3.8,Richmond Road,"Chinese, Thai, Delivery, Dine-out",850
"Oh My Chaat,Frazer Town",3.1,Frazer Town,"Street Food, Delivery",300
"YumYumSouth,Indiranagar",3.5,Indiranagar,"South Indian, Delivery, Delivery",600
"Foodhall,MG Road",4.0,MG Road,"Italian, Bakery, Fast Food, Delivery, Dine-out",1000
"Ciclo Cafe,Indiranagar",4.3,Indiranagar,"Cafe, Italian, American, Delivery, Cafes, Dine-out, Drinks & nightlife",1000
"Alibaba Cafe and Restaurant,Frazer Town",3.9,Frazer Town,"Arabian, Middle Eastern, Delivery, Dine-out",700
"Goli Vada Pav No. 1,Ulsoor",3.5,Ulsoor,"Street Food, Delivery, Delivery",200
"Ooty Chocolates,Indiranagar",3.8,Indiranagar,"Desserts, Delivery, Desserts, Delivery",300
"Arya Bhavan Sweets,Vasanth Nagar",3.2,Vasanth Nagar,"Mithai, Street Food, North Indian, Delivery, Dine-out, Desserts",300
"Amande Patisserie,Lavelle Road",4.2,Lavelle Road,"Bakery, French, Desserts, Delivery, Desserts",300
"Qissa Khawani,Church Street",4.4,Church Street,"North Indian, Mughlai, Delivery, Dine-out, Delivery, Dine-out",800
"Ayda Persian Kitchen,Church Street",3.9,Church Street,"North Indian, Iranian, Delivery, Dine-out",950
"Sri Krishna Sweets,Indiranagar",3.7,Indiranagar,"Mithai, Delivery, Delivery, Delivery, Desserts",250
"Kolkatta Famous Chat,Indiranagar",3.7,Indiranagar,"Street Food, North Indian, Delivery, Dine-out",100
"Cookie Man,Brigade Road",3.4,Brigade Road,"Bakery, Delivery, Desserts",150
"Kabab Mela,Shivajinagar",3.7,Shivajinagar,"North Indian, Chinese, Kebab, Delivery, Dine-out",300
"Vinny's,Brigade Road",3.9,Brigade Road,"Pizza, Italian, Continental, Desserts, Delivery, Dine-out",800
"Sagar Delicacy,Ulsoor",3.9,Ulsoor,"North Indian, Chinese, Fast Food, Street Food, Delivery, Dine-out",500
"Platter,Residency Road",2.9,Residency Road,"Street Food, Juices, Delivery, Dine-out",300
"Savera Lassi Shop,Shivajinagar",3.7,Shivajinagar,"Beverages, Juices, Delivery",100
"The Adukkala Restaurant,Brigade Road",3.6,Brigade Road,"Kerala, Delivery, Dine-out",500
"Carnival de Goa,Ulsoor",4.2,Ulsoor,"Goan, Mangalorean, Pizza, Delivery, Dine-out, Pubs and bars, Drinks & nightlife",1000
"McDonald's,Brigade Road",3.7,Brigade Road,"Burger, Fast Food, Delivery, Dine-out, Delivery",500
"INDULGE by InnerChef,Indiranagar",3.5,Indiranagar,"Desserts, Bakery, Delivery, Desserts, Delivery",400
"Double Decker,Brigade Road",4.3,Brigade Road,"Continental, North Indian, Delivery, Dine-out, Drinks & nightlife, Pubs and bars",1300
"Toscano,Lavelle Road",4.4,Lavelle Road,"Italian, Salad, Delivery, Dine-out",1500
"Foreign Cafe,Indiranagar",3.1,Indiranagar,"Continental, Delivery",500
"Dakshin Biryani & Tiffin,Indiranagar",3.4,Indiranagar,"Andhra, South Indian, North Indian, Delivery, Dine-out",550
"Pizza Stop,Lavelle Road",3.5,Lavelle Road,"Pizza, Italian, Delivery",600
"Baskin Robbins,Frazer Town",3.1,Frazer Town,"Ice Cream, Desserts, Delivery, Desserts",250
"Robin Brown Ice Cream,Frazer Town",3.7,Frazer Town,"Desserts, Delivery, Desserts",250
"Chocolate D'Luxe,Lavelle Road",4.1,Lavelle Road,"Desserts, Delivery, Desserts",550
"Chilli Chicken,Brigade Road",3.1,Brigade Road,"Fast Food, Delivery, Dine-out, Dine-out, Delivery",500
"NoLimmits Lounge and Club,Brigade Road",4.0,Brigade Road,"Chinese, Continental, North Indian, Burger, Pizza, Delivery, Dine-out, Drinks & nightlife, Delivery, Dine-out, Drinks & nightlife",2000
"Delisias,Brigade Road",3.7,Brigade Road,"Bakery, Delivery, Desserts",400
"Masale Daan,Richmond Road",3.2,Richmond Road,"North Indian, Delivery",350
"Hotel Rangoon,Ulsoor",3.7,Ulsoor,"Burmese, Delivery, Dine-out",300
"Drunken Monkey,Frazer Town",3.5,Frazer Town,"Beverages, Fast Food, Delivery, Delivery",400
"Mangalore pearl - Seafood Restaurant,Ulsoor",4.3,Ulsoor,"Mangalorean, Seafood, Delivery, Dine-out",550
"The Wok Shop,Ulsoor",3.4,Ulsoor,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean, Delivery, Dine-out",500
"Chaitanya Veg,Shivajinagar",3.2,Shivajinagar,"South Indian, Delivery, Dine-out",300
"20 Feet High,Church Street",4.0,Church Street,"American, Continental, Steak, Salad, Delivery, Dine-out, Drinks & nightlife, Pubs and bars",1000
"World In A Bowl,Indiranagar",2.8,Indiranagar,"Continental, North Indian, Desserts, Beverages, Delivery, Delivery",600
"Bean Flickers,Indiranagar",4.3,Indiranagar,"Cafe, American, Fast Food, Coffee, Continental, Delivery, Cafes, Dine-out",700
"7 Plates,Frazer Town",3.9,Frazer Town,"North Indian, Mughlai, Rolls, Fast Food, Delivery, Dine-out",600
"Munchies,Brigade Road",3.9,Brigade Road,"Fast Food, Bakery, Delivery, Desserts, Dine-out",250
"Supreme Biryani,Ulsoor",3.7,Ulsoor,"Biryani, Delivery, Delivery",400
"Kenz Karam,Frazer Town",3.5,Frazer Town,"Desserts, Beverages, Delivery, Desserts",300
"Kobe Sizzlers,Brigade Road",4.1,Brigade Road,"American, Continental, Fast Food, Steak, Delivery, Dine-out",1500
"Cafe Idly,Frazer Town",3.7,Frazer Town,"South Indian, Fast Food, Delivery, Dine-out",200
"Al Swaad Take Away,Richmond Road",3.1,Richmond Road,"North Indian, South Indian, Arabian, Delivery",350
"Niranthara,Vasanth Nagar",3.7,Vasanth Nagar,"North Indian, Delivery, Dine-out",600
"Ambur Star Briyani,Indiranagar",3.7,Indiranagar,"North Indian, Chinese, Biryani, Delivery, Delivery, Dine-out, Delivery",500
"Airlines Hotel,Lavelle Road",4.0,Lavelle Road,"South Indian, North Indian, Street Food, Delivery, Dine-out",400
"Just Bake,Ulsoor",3.4,Ulsoor,"Bakery, Desserts, Delivery, Desserts, Delivery",400
"Pai Vihar,Vasanth Nagar",2.8,Vasanth Nagar,"South Indian, Street Food, Chinese, Fast Food, Delivery, Dine-out",400
"Crunch Pizzas,Domlur",2.9,Domlur,"Italian, Pizza, Delivery",600
"Eat At Nite,Frazer Town",3.2,Frazer Town,"North Indian, Chinese, Rolls, Delivery, Delivery, Delivery, Delivery, Delivery",400
"Yauatcha P¢tisserie,MG Road",3.9,MG Road,"Desserts, Delivery, Desserts, Dine-out",600
"Frozen Bottle,Brigade Road",4.0,Brigade Road,"Beverages, Desserts, Ice Cream, Delivery, Delivery",400
"Sri Udupi Park,Residency Road",3.8,Residency Road,"South Indian, Chinese, Delivery, Dine-out",200
"Ramji Chaiwale,Ulsoor",3.8,Ulsoor,"Beverages, Fast Food, Delivery, Dine-out, Delivery, Dine-out",250
"Gelato Italiano,Kammanahalli",3.2,Kammanahalli,"Ice Cream, Desserts, Bakery, Delivery, Desserts",200
"Chantilly,Indiranagar",4.1,Indiranagar,"Cafe, Bakery, Delivery, Cafes, Desserts",450
"Ghar Ka Bhojan,Domlur",3.3,Domlur,"North Indian, Healthy Food, Delivery",200
"Kolkata Famous Kati Rolls,Frazer Town",3.7,Frazer Town,"Rolls, Street Food, Delivery, Delivery",200
"Cafe Terra,Indiranagar",4.2,Indiranagar,"Cafe, Continental, Fast Food, Delivery, Cafes, Dine-out",500
"Charminar Kabab Paradise,Frazer Town",4.0,Frazer Town,"North Indian, Chinese, Mughlai, Kebab, Delivery, Dine-out",500
"Cream Stone,Frazer Town",4.0,Frazer Town,"Desserts, Beverages, Delivery, Desserts, Delivery",500
"EatWater,Lavelle Road",4.2,Lavelle Road,"North Eastern, Delivery, Dine-out, Pubs and bars",1000
"Sherlock's Cafe,Frazer Town",3.7,Frazer Town,"Cafe, Fast Food, Delivery, Cafes, Delivery",350
"Step Right Up,Vasanth Nagar",4.1,Vasanth Nagar,"Cafe, Italian, Delivery, Cafes, Dine-out",300
"Zaks Mediterranean Cuisine,Frazer Town",3.9,Frazer Town,"Mediterranean, Arabian, Lebanese, Rolls, Delivery, Delivery, Dine-out",700
"Paratha Xpress,Ulsoor",3.5,Ulsoor,"North Indian, Chinese, Delivery, Dine-out",200
"The ThickShake Factory,Cunningham Road",2.8,Cunningham Road,"Beverages, Juices, Delivery",350
"The Chariot,Brigade Road",2.9,Brigade Road,"South Indian, North Indian, Chinese, Delivery, Dine-out",350
"The J,Church Street",4.0,Church Street,"Fast Food, Beverages, Delivery, Delivery",450
"ZOROY Luxury Chocolate,Church Street",4.0,Church Street,"Desserts, Delivery, Desserts",250
"Kanteen 038,Indiranagar",3.9,Indiranagar,"Tea, Beverages, Fast Food, Delivery, Delivery, Dine-out, Dine-out",200
"Donne Biriyani Mane,Church Street",3.5,Church Street,"Biryani, Kebab, Delivery, Dine-out, Delivery, Dine-out",400
"A2B - Adyar Ananda Bhavan,Shanti Nagar",3.9,Shanti Nagar,"South Indian, Fast Food, Street Food, Delivery, Dine-out, Delivery, Dine-out",400
"Le Rock,Brigade Road",4.0,Brigade Road,"Continental, Chinese, Delivery, Dine-out, Drinks & nightlife, Pubs and bars, Delivery, Dine-out, Drinks & nightlife, Pubs and bars",2000
"Bangalore Bytes,Brigade Road",3.5,Brigade Road,"Fast Food, South Indian, Biryani, Delivery, Dine-out",300
"Siridhanya Upahara Darshini,Frazer Town",3.4,Frazer Town,"South Indian, Delivery, Dine-out, Delivery",400
"Hotel Chandrika,Cunningham Road",3.8,Cunningham Road,"South Indian, North Indian, Chinese, Street Food, Delivery, Dine-out",400
"Gowdru Hotel,Indiranagar",3.9,Indiranagar,"South Indian, Biryani, Delivery, Dine-out, Delivery",400
"Cafe Braqa,Indiranagar",4.0,Indiranagar,"Cafe, Italian, Continental, Beverages, Delivery, Cafes, Dine-out, Delivery, Cafes, Dine-out",700
"Sri Srinivas Park Hotel,BTM",3.7,BTM,"North Indian, South Indian, Delivery, Dine-out, Delivery",250
"Naachiyar's,Ulsoor",3.9,Ulsoor,"Chettinad, Delivery, Dine-out",600
"Dindigul Thalappakatti,MG Road",3.7,MG Road,"Biryani, Chinese, North Indian, South Indian, Delivery, Dine-out, Dine-out",800
"Cobaja,Brigade Road",4.3,Brigade Road,"Seafood, South Indian, Bar Food, Mangalorean, Konkan, Delivery, Dine-out, Delivery, Dine-out",700
"Brownie Heaven,Cunningham Road",4.2,Cunningham Road,"Desserts, Fast Food, Delivery, Desserts, Delivery, Desserts",300
"Kadamba Foodline,Ulsoor",3.7,Ulsoor,"Chinese, North Indian, South Indian, Delivery, Dine-out, Delivery, Dine-out",400
"The Bundle Co.,MG Road",4.4,MG Road,"Burger, Continental, Italian, Beverages, Delivery, Dine-out",700
"Tea Break Lounge,Brigade Road",3.3,Brigade Road,"Beverages, Fast Food, Delivery, Delivery",400
"The Grill House,Ulsoor",4.1,Ulsoor,"American, Mexican, Italian, Steak, Delivery, Dine-out, Pubs and bars, Drinks & nightlife",1200
"Kabab Nation Corner,Brigade Road",3.5,Brigade Road,"Chinese, Arabian, Fast Food, Delivery, Dine-out",500
"The Grand Taj,Shivajinagar",3.2,Shivajinagar,"North Indian, Chinese, Delivery, Dine-out, Delivery, Dine-out",350
"Kumbakonam Degree Coffee,Indiranagar",3.8,Indiranagar,"South Indian, Fast Food, Delivery, Dine-out",200
"C Sharp Kitchen,Church Street",3.4,Church Street,"North Indian, Chinese, European, Delivery, Dine-out, Delivery, Dine-out",600
"Nossa Goa,Richmond Road",4.1,Richmond Road,"Goan, Seafood, Konkan, Desserts, Delivery, Desserts, Dine-out",1000
"Red Lantern,Cunningham Road",3.7,Cunningham Road,"Chinese, Thai, Delivery, Dine-out",700
"ROYCE' Chocolate,MG Road",3.5,MG Road,"Desserts, Delivery, Desserts, Delivery, Desserts",1000
"Chung Wah Express,Indiranagar",2.8,Indiranagar,"Chinese, Thai, Momos, Vietnamese, Delivery, Dine-out",600
"Ujwal Restaurant,Vasanth Nagar",3.9,Vasanth Nagar,"Seafood, North Indian, Chinese, Delivery, Dine-out, Delivery, Dine-out",550
"GMT - Gelateria Montecatini Terme,Lavelle Road",4.4,Lavelle Road,"Desserts, Ice Cream, Delivery, Desserts",300
"Kettle & Kegs,Cunningham Road",3.7,Cunningham Road,"Tea, Beverages, Delivery",200
"Gokul Kuteera,Indiranagar",3.9,Indiranagar,"North Indian, Chinese, South Indian, Delivery, Dine-out, Delivery, Dine-out",650
"The Souk,Ulsoor",3.7,Ulsoor,"Cafe, Mediterranean, Italian, Pizza, Continental, Delivery, Cafes, Dine-out",800
"Caffe Maven,Residency Road",3.4,Residency Road,"Chinese, North Indian, Delivery, Dine-out, Delivery, Dine-out",300
"Desi Streat,Brigade Road",3.7,Brigade Road,"South Indian, Street Food, Delivery, Dine-out",400
"Bubbles,Frazer Town",3.7,Frazer Town,"Cafe, Delivery, Cafes, Dine-out, Delivery",450
"Popat,Indiranagar",3.2,Indiranagar,"North Indian, Delivery, Dine-out",300
"Tea Journey,Indiranagar",3.8,Indiranagar,"Cafe, Delivery, Cafes, Dine-out",500
"Baba Da Dhaba,Brigade Road",4.1,Brigade Road,"North Indian, Delivery, Dine-out",650
"Momo Time,Ulsoor",3.7,Ulsoor,"Momos, Chinese, Delivery",300
"China South,Brigade Road",3.7,Brigade Road,"Chinese, Tibetan, Delivery, Dine-out, Delivery, Dine-out",600
"Ging - Royal Orchid Central,MG Road",4.3,MG Road,"Asian, Delivery, Dine-out, Pubs and bars, Delivery, Delivery, Dine-out, Drinks & nightlife, Pubs and bars",2000
"Masala Central,Frazer Town",3.7,Frazer Town,"North Indian, Delivery, Dine-out, Delivery",300
"Daily Bite,Richmond Road",3.5,Richmond Road,"Desserts, Fast Food, Delivery, Desserts",250
"Lime Twist,Residency Road",3.7,Residency Road,"Fast Food, Beverages, Delivery",150
"All Saints Bakery,Brigade Road",3.6,Brigade Road,"Bakery, Delivery, Desserts",200
"Ta'aam,Cunningham Road",4.1,Cunningham Road,"North Indian, Mughlai, Arabian, Chinese, Delivery, Dine-out",750
"Classic Shop,Ulsoor",3.3,Ulsoor,"Juices, Beverages, Delivery",150
"Coastal Delight,Indiranagar",4.1,Indiranagar,"Seafood, South Indian, North Indian, Mangalorean, Chinese, Delivery, Dine-out",650
"Little White Kitchen,Brigade Road",3.8,Brigade Road,"Chinese, Continental, North Indian, Italian, Delivery, Dine-out",200
"UBQ by Barbeque Nation,MG Road",3.2,MG Road,"North Indian, BBQ, Biryani, Kebab, Delivery, Delivery",450
"Taipan,Frazer Town",3.5,Frazer Town,"Chinese, Momos, Delivery, Dine-out",700
"Penta Cafe,Frazer Town",3.5,Frazer Town,"Juices, Fast Food, Beverages, Delivery, Dine-out",350
"Ideal Kitchen,Indiranagar",3.5,Indiranagar,"North Indian, Chinese, South Indian, Seafood, Delivery, Dine-out",250
"Tibbs Frankie,Brigade Road",3.8,Brigade Road,"Street Food, Rolls, Delivery",200
"Chef Baker's,MG Road",3.7,MG Road,"Bakery, Desserts, Delivery, Desserts",600
"Ghar Ki Rasoi,Indiranagar",3.1,Indiranagar,"North Indian, Chinese, Italian, Delivery",500
"Gelato Italiano,Brigade Road",3.0,Brigade Road,"Ice Cream, Bakery, Desserts, Delivery, Desserts",200
"OCEA HOTEL,Brigade Road",3.7,Brigade Road,"North Indian, Chinese, Seafood, Delivery, Dine-out",800
"Vietnamese Kitchen,Indiranagar",4.1,Indiranagar,"Chinese, Vietnamese, Momos, Thai, Delivery, Dine-out",800
"Shadow Kolkata Katti Rolls & Momos,Brigade Road",3.7,Brigade Road,"Rolls, Chinese, Delivery, Dine-out",250
"L'inoui,Cunningham Road",4.1,Cunningham Road,"Desserts, Delivery, Desserts",400
"Troll,Indiranagar",3.8,Indiranagar,"Desserts, Ice Cream, Delivery, Desserts",300
"Bhavani Sri,Indiranagar",3.0,Indiranagar,"Andhra, Biryani, Seafood, Delivery, Dine-out, Delivery",700
"Meaza Ginger Multi Cuisine Restaurant,Indiranagar",3.6,Indiranagar,"North Indian, Chinese, South Indian, Kerala, Delivery, Dine-out, Delivery, Dine-out",550
"The Jungle Terrace,Brigade Road",3.5,Brigade Road,"Continental, Mexican, Lebanese, Delivery, Dine-out",600
"Roll Junction,Cunningham Road",2.9,Cunningham Road,"Fast Food, Rolls, Delivery, Dine-out",150
"Chutney Chang,Church Street",4.2,Church Street,"North Indian, Chinese, BBQ, Delivery, Dine-out, Buffet",1500
"Amritsari Kulcha Bite,Ulsoor",3.9,Ulsoor,"North Indian, Delivery, Dine-out",150
"Delices,Ulsoor",3.1,Ulsoor,"Bakery, Desserts, Delivery, Desserts",400
"Meenu Oota Da Maane,Brigade Road",3.2,Brigade Road,"Seafood, Mangalorean, Chinese, Delivery, Dine-out, Delivery, Delivery, Dine-out",700
"Gobble Up Churros Cafe,Ulsoor",3.8,Ulsoor,"Beverages, Cafe, Desserts, Spanish, Bakery, Delivery, Cafes, Dine-out",400
"Tempura Restaurant,Brigade Road",3.9,Brigade Road,"Japanese, Chinese, Tibetan, Momos, Delivery, Dine-out",500
"Choi Choi Momos,Brigade Road",3.8,Brigade Road,"Chinese, Fast Food, Momos, Delivery, Delivery",300
