name,rate,location,cuisines,cost_for_two
"Peppy Peppers,Banashankari",4.2,Banashankari,"Italian, North Indian, Mexican, Delivery, Dine-out, Dine-out",800
"Goa 0 Km,Kumaraswamy Layout",3.6,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani, Delivery",800
"Chinese Kitchen,Basavanagudi",3.8,Basavanagudi,"Chinese, Delivery, Dine-out",150
"1947,Banashankari",4.0,Banashankari,"North Indian, Chinese, Delivery, Dine-out",850
"Cake of the Day,Banashankari",3.7,Banashankari,"Bakery, Delivery, Desserts",150
"Kabab Magic,Basavanagudi",4.1,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food, Delivery, Dine-out",400
"Namma Brahmin's Idli,Jayanagar",3.6,Jayanagar,"South Indian, Delivery, Delivery",100
"Gustoes Beer House,Banashankari",4.1,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak, Delivery, Dine-out, Drinks & nightlife",1200
"Sugar Rush,Banashankari",3.8,Banashankari,"Bakery, Desserts, Delivery, Desserts",300
"Burger King,Basavanagudi",3.2,Basavanagudi,"Burger, Fast Food, Beverages, Delivery, Dine-out, Dine-out",600
"The Good Bowl,Banashankari",3.6,Banashankari,"Italian, North Indian, Biryani, Delivery",500
"The Biryani Cafe,Banashankari",4.1,Banashankari,"Biryani, Chinese, Kebab, Delivery, Dine-out",300
"Spicy Tandoor,Banashankari",3.7,Banashankari,"North Indian, Delivery, Dine-out",150
"LSD Cafe,Banashankari",2.9,Banashankari,"Chinese, Continental, Italian, North Indian, Delivery",700
"Rolls On Wheels,Banashankari",3.6,Banashankari,"Fast Food, Rolls, Momos, Delivery, Dine-out",300
"Om Sri Vinayaka Chats,Banashankari",3.7,Banashankari,"Street Food, Fast Food, Delivery",500
"Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi",4.1,Basavanagudi,"South Indian, Delivery, Dine-out",150
